isp,cdn,content_length,stdev
twcny,akamai,230000,25.290353
twcny,akamai,231000,49.371690
twcny,akamai,232000,226.438345
twcny,akamai,233000,29.184271
twcny,akamai,234000,244.468290
twcny,akamai,235000,57.906064
twcny,akamai,236000,39.815160
twcny,akamai,237000,47.938919
twcny,akamai,238000,20.526664
twcny,akamai,239000,40.524796
twcny,akamai,240000,45.177924
twcny,akamai,241000,23.747581
twcny,akamai,242000,60.910898
twcny,akamai,243000,360.864416
twcny,akamai,244000,43.425783
twcny,akamai,245000,204.839996
twcny,akamai,246000,205.555385
twcny,akamai,247000,53.607836
twcny,akamai,248000,44.519192
twcny,akamai,249000,15.589435
twcny,akamai,250000,44.312228
twcny,akamai,251000,18.090645
twcny,akamai,252000,13.249898
twcny,akamai,253000,38.501164
twcny,akamai,254000,89.813830
twcny,akamai,255000,76.828194
twcny,akamai,256000,18.819919
twcny,akamai,257000,44.595793
twcny,akamai,258000,37.365675
twcny,akamai,259000,23.280317
twcny,akamai,260000,13.972296
twcny,akamai,261000,55.130005
twcny,akamai,262000,30.229376
twcny,akamai,263000,36.135957
twcny,akamai,264000,20.129870
twcny,akamai,265000,91.904034
twcny,akamai,266000,16.255005
twcny,akamai,267000,38.162861
twcny,akamai,268000,30.576955
twcny,akamai,269000,62.189646
twcny,akamai,271000,0.410004
twcny,akamai,272000,29.184088
twcny,akamai,273000,218.047367
twcny,akamai,274000,15.568548
twcny,akamai,275000,26.485001
twcny,akamai,276000,55.331989
twcny,akamai,277000,23.934998
twcny,akamai,278000,44.243958
twcny,akamai,279000,36.305027
twcny,akamai,281000,347.063221
twcny,akamai,282000,34.346298
twcny,akamai,283000,10.468510
twcny,akamai,286000,23.698873
twcny,akamai,288000,53.027287
twcny,akamai,289000,133.405663
twcny,akamai,290000,203.082888
twcny,akamai,291000,8.089996
twcny,akamai,292000,0.120026
twcny,akamai,293000,147.419076
twcny,akamai,296000,29.448746
twcny,akamai,297000,14.574997
twcny,akamai,298000,25.505099
twcny,akamai,299000,27.035004
twcny,akamai,300000,25.209991
twcny,akamai,301000,34.438403
twcny,akamai,302000,127.474222
twcny,akamai,304000,255.529834
twcny,akamai,305000,0.590012
twcny,akamai,306000,4.014999
twcny,akamai,307000,47.631127
twcny,akamai,308000,30.743007
twcny,akamai,309000,30.270020
twcny,akamai,310000,42.514999
twcny,akamai,311000,18.975006
twcny,akamai,312000,33.465012
twcny,akamai,314000,42.363369
twcny,akamai,315000,34.859259
twcny,akamai,316000,10.149757
twcny,akamai,320000,8.149994
twcny,akamai,323000,3.959991
twcny,akamai,324000,22.059998
twcny,akamai,325000,35.804993
twcny,akamai,326000,31.903236
twcny,akamai,327000,79.666276
twcny,akamai,328000,226.377783
twcny,akamai,329000,338.299045
twcny,akamai,330000,34.085893
twcny,akamai,331000,26.374972
twcny,akamai,332000,21.270004
twcny,akamai,333000,3.975006
twcny,akamai,334000,236.120264
twcny,akamai,335000,34.904999
twcny,akamai,336000,30.810013
twcny,akamai,337000,25.726646
twcny,akamai,339000,44.302906
twcny,akamai,340000,14.258520
twcny,akamai,342000,12.694992
twcny,akamai,343000,5.020004
twcny,akamai,346000,111.490158
twcny,akamai,347000,87.106585
twcny,akamai,348000,9.225994
twcny,akamai,349000,7.500000
twcny,akamai,351000,22.088163
twcny,akamai,353000,15.612366
twcny,akamai,354000,31.553610
twcny,akamai,356000,40.368274
twcny,akamai,357000,22.942296
twcny,akamai,359000,115.432026
twcny,akamai,361000,32.803098
twcny,akamai,365000,370.479188
twcny,akamai,366000,19.564282
twcny,akamai,369000,17.979411
twcny,akamai,370000,50.757522
twcny,akamai,371000,36.059864
twcny,akamai,372000,63.576598
twcny,akamai,374000,31.574842
twcny,akamai,375000,55.343638
twcny,akamai,376000,2.904999
twcny,akamai,378000,612.894989
twcny,akamai,379000,18.275588
twcny,akamai,380000,69.390755
twcny,akamai,381000,15.714996
